real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
48,0.043201,0.055109,0.078854,0.081205,0.074537,0.07056,0.117957,0.048583,0.099587,0.072632,0.112558,0.122518,0.123493,0.062192,0.117601,0.100256,0.123611,0.070568,0.146088,0.091828,0.151576,0.130661,0.129093,0.176626
49,0.330259,0.421288,0.602812,0.620783,0.56981,0.539405,0.901744,0.371402,0.76131,0.555246,0.860471,0.936607,0.944063,0.475434,0.89902,0.766422,0.944967,0.539469,1.11679,0.70199,1.15875,0.998857,0.986869,1.35025
50,0.3772,0.481167,0.688492,0.709017,0.650799,0.616072,1.02991,0.424191,0.869518,0.634165,0.982773,1.06973,1.07825,0.543009,1.0268,0.875357,1.07928,0.616145,1.27553,0.801767,1.32344,1.14083,1.12714,1.54216
51,0.128501,0.163919,0.234548,0.241541,0.221708,0.209877,0.35086,0.144509,0.296219,0.216041,0.334801,0.364425,0.367326,0.184987,0.3498,0.298208,0.367678,0.209902,0.434533,0.273138,0.450858,0.388646,0.383981,0.525369
52,0.052391,0.066831,0.095627,0.098478,0.090392,0.085569,0.143049,0.058918,0.120771,0.088082,0.136502,0.148579,0.149762,0.075421,0.142617,0.121582,0.149906,0.085579,0.177163,0.111361,0.183819,0.158454,0.156553,0.214198
53,0.317325,0.40479,0.579205,0.596472,0.547495,0.518281,0.86643,0.356857,0.731496,0.533502,0.826774,0.899928,0.907092,0.456815,0.863813,0.736408,0.907961,0.518342,1.07306,0.674499,1.11337,0.95974,0.948222,1.29737
54,2.15505,2.74904,3.93354,4.05081,3.7182,3.51979,5.88417,2.42352,4.9678,3.62316,5.61486,6.11167,6.16032,3.10236,5.8664,5.00116,6.16622,3.52021,7.28744,4.58072,7.56121,6.51787,6.43964,8.81081
55,1.24085,1.58287,2.26489,2.33241,2.14089,2.02666,3.38804,1.39543,2.8604,2.08617,3.23297,3.51903,3.54704,1.7863,3.37781,2.87961,3.55044,2.0269,4.19602,2.63752,4.35365,3.75291,3.70787,5.07316
56,2.11407,2.69678,3.85876,3.97379,3.6475,3.45287,5.7723,2.37744,4.87335,3.55428,5.5081,5.99547,6.04319,3.04338,5.75487,4.90607,6.04898,3.45328,7.14888,4.49362,7.41745,6.39395,6.31721,8.64329
57,0.455119,0.580563,0.830715,0.85548,0.785236,0.743336,1.24266,0.511817,1.04914,0.765166,1.18579,1.29071,1.30098,0.65518,1.23891,1.05618,1.30223,0.743424,1.53902,0.96739,1.59683,1.37649,1.35997,1.86073
58,0.512505,0.653766,0.93546,0.963347,0.884246,0.837063,1.39935,0.576352,1.18142,0.861646,1.3353,1.45345,1.46502,0.737791,1.39512,1.18935,1.46643,0.837162,1.73307,1.08937,1.79818,1.55005,1.53145,2.09535
59,0.902603,1.15139,1.64749,1.69661,1.5573,1.4742,2.46448,1.01505,2.08067,1.5175,2.35168,2.55976,2.58014,1.29937,2.45704,2.09464,2.58261,1.47438,3.05221,1.91855,3.16688,2.72989,2.69713,3.69025
