real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
40,6.78225,4.19389,3.72922,2.44711,10.9029,15.9222,2.16723,20.5767,13.0258,25.8884,25.7359,19.6394,8.22155,21.1622,30.2343,22.5242,29.0038,10.3034,34.1274,9.70558,12.0981,23.9859,7.12537,4.09229
41,7.30456,6.84495,4.48345,3.65517,10.4728,15.2116,3.50295,19.6716,13.0943,25.1283,28.1687,19.3611,7.13085,20.947,29.0635,21.3059,30.4751,8.44944,35.5734,10.9372,14.2418,24.0986,6.1914,5.99461
42,8.45741,5.88255,2.4479,4.60158,10.2983,17.2826,3.11414,20.7357,13.0024,25.0342,27.2234,20.1251,6.14186,19.7366,30.3083,22.7912,29.4856,7.61352,33.7703,9.3143,12.2095,24.625,7.70513,2.27815
43,6.42053,3.69011,4.21115,4.51651,9.64568,16.3957,2.06726,21.9069,12.7601,26.8274,26.5171,19.6595,7.49161,21.8032,30.3833,24.1816,29.0265,8.83898,34.0917,10.9838,14.5649,25.2275,6.71565,4.21253
44,6.53745,4.19158,2.93452,3.58954,10.8915,16.594,3.47953,19.7512,12.0192,24.9434,28.9296,21.296,7.88782,19.4609,30.3288,21.8004,28.7224,9.33623,34.3068,12.1063,14.5299,25.3978,6.43834,4.81396
45,7.49019,5.76855,4.43884,4.0783,9.9149,14.8862,3.73099,20.2184,13.716,24.3535,27.429,19.963,8.09814,19.5969,30.894,23.1752,28.6337,9.68726,34.5109,7.04846,16.0107,24.7887,5.37104,5.12695
46,7.11477,5.68705,4.51989,2.88649,9.94667,15.8592,3.42685,18.7564,15.05,24.4479,29.872,19.0796,8.1763,21.2579,30.9603,21.6462,29.6099,8.94117,33.6661,8.61151,14.0913,27.5403,5.9291,4.18496
47,8.61626,5.98645,3.86538,4.09635,9.43828,15.9873,3.27505,21.0376,13.9441,24.5588,28.237,20.3863,9.17539,19.1528,28.1307,20.1888,30.6988,9.50744,33.1181,10.3351,13.4407,25.6475,6.51813,2.90181
48,8.18253,5.25826,4.38132,2.53078,8.46993,17.1254,5.08311,21.1032,15.6702,25.8994,27.2987,19.1269,8.99652,18.9907,28.5556,23.2261,30.5673,10.5863,32.8009,7.96966,12.9652,26.3697,6.04092,4.21766
49,6.98064,3.94063,4.23584,4.43214,8.6673,15.9884,4.43179,19.3164,14.6732,25.2599,28.5054,19.5735,7.13753,19.0774,31.5971,21.4357,28.864,9.45133,34.674,10.7609,12.9973,24.5191,6.12529,3.09225
50,7.02686,3.04855,5.15005,3.19036,9.877,14.9084,4.20257,20.2627,14.6321,24.5328,27.0644,18.7523,7.97934,20.8271,29.1826,22.1497,26.9028,8.69844,35.0739,8.6612,13.1978,25.7598,6.16498,4.05149
51,7.47336,4.32466,4.83765,3.3371,9.19472,17.1135,3.36043,20.615,15.0981,25.6129,28.8481,20.6412,8.62694,19.3527,30.2617,20.8291,30.3283,8.82575,34.6487,8.00007,13.8889,24.2797,8.21977,4.54545
52,6.90831,6.44205,5.1239,3.65013,10.0341,16.2661,5.81463,19.7695,14.3481,25.489,26.8494,20.1547,8.28377,20.4139,30.5245,22.4145,30.2652,10.0314,32.3483,8.91792,13.4745,25.7906,5.53168,4.52202
53,4.84343,4.51166,4.74208,3.04324,10.4917,16.2258,4.36752,20.4255,14.8186,23.4742,28.404,20.129,8.04796,21.4453,30.3008,22.4362,29.3969,8.83842,34.5931,8.7515,14.0327,26.343,6.18898,2.62095
54,7.03957,5.31454,4.12129,5.59609,10.4686,15.4098,4.16497,19.4398,12.9074,24.9284,27.2676,19.3475,9.11971,19.8711,29.2708,22.7607,31.0169,10.3429,33.6458,9.00693,13.2536,24.7253,6.19103,4.55028
55,7.26722,6.07387,2.4467,3.29984,9.12374,15.2891,4.21715,22.8131,14.9327,24.3129,28.597,21.9587,7.49065,20.4043,31.249,23.3078,29.9728,10.3324,33.9144,10.4569,14.5603,25.7839,2.07931,2.84957
56,6.23168,6.34455,3.01651,6.15224,12.5352,15.7928,3.9459,19.3571,15.0272,25.8842,28.6659,19.2464,8.13221,21.417,29.3407,23.1913,28.4837,9.4362,33.7501,10.1853,13.3273,25.0221,5.18296,4.38771
57,8.33058,4.86906,4.99206,4.70597,8.97929,15.9523,5.36272,21.5192,14.2425,23.9418,28.1307,19.021,7.87195,20.8323,29.6522,21.8588,28.0033,8.65353,32.7595,8.80541,14.0525,25.1941,6.0533,4.57097
58,7.41179,4.7037,3.46003,5.93597,9.0768,15.2966,4.14558,18.8853,13.3235,26.5347,29.4977,21.7886,8.1846,20.0911,30.6472,21.996,28.3845,9.31201,32.2174,9.33756,13.9448,26.1757,7.03948,5.20955
59,6.00726,5.37422,5.7752,3.5209,9.86206,15.0451,3.71627,20.5203,14.3151,26.3678,28.669,20.4816,7.38761,17.7246,29.2566,22.4845,28.743,9.62983,33.362,9.34242,13.3631,25.5939,5.15688,3.26757
60,5.68679,5.70895,4.48086,3.78679,11.1419,16.3642,4.36208,18.9744,14.2405,24.3891,29.4447,19.5864,6.44049,18.1301,28.5331,24.3978,30.0851,8.38455,32.7685,8.46917,14.2565,22.7016,5.39095,3.39254
61,4.70534,5.31683,2.52551,4.90365,10.0356,16.8319,1.9043,20.302,13.6865,25.3587,28.3808,20.1748,8.336,18.3578,29.0294,21.9286,28.8627,8.95087,35.056,8.3458,14.0841,23.5094,4.29061,4.72254
62,6.28961,5.85033,2.43973,5.63048,10.1797,16.4382,4.91974,20.7283,12.6975,24.8989,26.1527,16.8768,8.29735,20.726,31.3062,21.2122,30.1129,7.30973,33.2928,10.9623,14.1672,26.9946,6.42456,3.03311
63,7.65428,7.36054,4.33333,3.35379,8.48327,15.5797,4.96013,21.324,12.1633,24.4764,29.0208,20.1944,6.13854,20.685,31.0448,20.8127,28.9467,9.84559,33.4256,10.8631,14.1781,25.8493,4.88316,2.90258
64,5.36271,4.3968,4.7259,3.32673,10.547,15.5736,3.76563,19.9492,14.8323,26.5327,27.7562,18.3135,7.78908,20.3309,30.9544,22.3415,30.2559,9.12332,34.1205,5.87192,13.5379,25.6017,6.20462,4.54666
65,6.15626,4.89966,4.99355,4.2154,7.58708,15.8173,4.93224,18.2105,14.473,22.66,27.8078,20.5855,8.52554,19.7593,31.1628,21.8382,29.3783,9.59361,32.5756,7.13903,13.2966,23.7473,5.35072,1.77764
66,7.31782,5.12631,3.34705,5.8686,9.65508,15.6139,2.87094,20.626,13.681,24.7361,28.4613,19.8335,7.2247,18.8392,28.7287,23.4453,28.5923,10.6819,33.2474,8.83665,13.8565,25.5966,7.88594,2.22213
67,8.66313,5.26118,2.76155,3.22438,9.83644,17.2677,6.13857,19.5734,12.8537,25.1816,27.6165,20.5358,8.91954,19.7361,28.6121,20.6625,29.5114,7.58432,35.4378,8.5491,13.6084,25.5375,6.6685,5.33981
68,5.43882,6.29728,3.29102,4.73887,10.9395,16.2358,3.9407,19.4409,14.3913,24.3071,28.6568,20.361,8.09902,20.1217,30.0323,21.7761,30.4114,10.1474,35.5761,8.81922,14.5341,25.2053,6.99308,4.4705
69,6.77208,4.51376,4.20741,3.93634,12.4258,15.81,5.0496,20.4949,14.33,24.1295,27.9947,20.9126,6.47348,18.725,29.1004,21.4443,30.1255,10.4421,32.2136,8.81994,15.5984,26.5934,5.98114,3.76778
70,6.99209,5.19462,3.28476,3.07826,7.71397,14.8312,3.69552,20.42,14.7169,25.3388,26.6077,19.2483,7.15677,19.3244,30.7275,20.3444,29.9576,8.57915,34.0069,8.20356,15.7525,25.368,6.72521,4.90559
71,6.63774,3.42259,3.18867,3.0163,10.0245,16.4746,5.25181,19.7414,11.4638,26.4221,27.7395,17.9858,9.7846,21.4033,30.1522,21.71,28.9348,9.90725,35.0767,7.61441,13.1111,27.0692,6.67123,3.51923
72,8.75262,4.97385,1.28035,3.28089,9.1902,16.0497,4.25678,19.6431,15.0666,25.1757,27.3065,19.8731,7.37251,20.5487,29.5331,22.2513,29.282,8.38378,34.0817,8.45161,12.6428,26.1916,5.51387,3.39614
73,7.74812,2.39645,3.16023,2.91755,9.25998,16.2575,4.60824,17.0909,14.568,25.8362,29.4154,18.7532,7.55599,20.0172,30.6837,22.3053,29.1498,9.25872,32.0045,9.06974,14.0172,25.5944,5.5073,4.10368
74,9.55564,5.37771,3.82435,3.92645,9.28589,16.1455,5.30833,19.7617,14.8851,25.5639,27.5267,20.9303,7.78934,19.0738,29.6395,22.4124,28.9814,7.89396,33.9825,9.68797,12.8586,24.0149,6.48377,5.58307
75,5.83336,5.32923,2.11572,5.74871,11.1425,16.574,3.48125,19.9265,15.4674,23.1488,27.7468,19.1877,8.62325,19.7469,30.383,21.4584,30.7902,9.66921,34.7627,9.671,13.8702,26.2768,8.28681,4.67267
76,5.62439,4.20457,5.26481,4.9347,9.93347,16.1825,4.37204,20.5633,14.2333,24.5918,27.7956,18.7369,6.6634,19.4648,32.0475,22.2333,30.3938,9.04315,35.218,9.10689,14.0917,25.8553,5.86834,3.60032
77,8.36986,5.74829,4.10978,2.11231,9.22955,13.8584,4.66425,20.1286,13.5344,23.4013,28.1052,19.9016,9.7735,19.2001,30.6994,21.5563,28.2543,8.79658,33.4367,8.15339,14.3983,24.9015,7.46774,3.41466
78,6.50454,5.83492,4.54957,4.28901,10.6971,16.9023,4.27615,19.9115,12.7238,26.4694,26.5723,21.3498,6.68671,21.1955,31.0195,22.1256,29.3977,8.97055,34.2671,8.6389,10.1063,25.2279,5.36958,5.07593
79,6.16725,5.54197,3.5012,3.94601,8.21698,15.7154,3.94997,20.695,13.1013,23.2467,29.0871,21.1104,8.85026,19.4935,30.2689,21.859,27.6936,9.64224,34.4502,9.04637,14.3349,25.4725,6.41924,2.97414
80,6.28188,7.25778,5.3112,3.66717,11.7043,15.7039,4.75198,20.5916,12.3378,26.6625,27.1021,20.5889,8.61326,19.8285,30.7707,22.9623,29.1801,9.69276,33.8414,10.0758,14.8611,24.7523,4.61011,5.67294
81,7.11056,6.14608,3.4036,4.18562,10.5328,17.2865,4.14095,20.3274,14.129,24.6611,27.8318,20.1727,8.13619,21.1857,29.7595,23.2909,29.5262,7.61661,35.1622,8.40274,14.5136,23.4432,7.63846,6.1356
82,7.76522,2.72506,4.62166,3.19858,9.85149,15.063,3.97897,20.6697,14.2448,25.3268,28.2784,19.4466,7.24401,19.1021,29.1542,22.405,27.5273,9.60822,33.1853,8.67685,13.3948,25.153,5.31347,4.59885
83,7.03557,3.19506,3.73309,5.70927,9.89162,14.5584,4.84559,20.0907,13.8259,25.4665,28.0015,19.5934,8.42944,18.3137,30.3287,20.13,29.2093,9.96564,34.5438,8.79418,14.6119,24.8123,6.37963,1.89516
84,7.48103,4.85581,5.64065,3.07171,10.63,16.9116,3.70799,20.9749,14.9496,24.7764,27.7898,21.5248,8.83049,18.1042,29.8364,23.1259,29.5408,8.67169,34.8081,9.35382,13.9248,24.5709,5.53417,2.42857
85,9.08508,5.36395,4.67533,3.6167,8.9681,13.3528,4.26231,19.0761,14.2991,26.6477,26.0627,19.501,6.7292,19.4858,29.1657,21.5509,28.1391,10.3738,33.3949,8.16747,13.8061,23.7935,4.39478,3.52821
86,7.30772,4.12099,4.9509,3.01649,10.2993,16.0433,3.59269,20.6941,13.0351,25.0632,28.6571,20.2039,7.30101,21.1227,31.3301,21.416,28.2126,8.4928,34.6535,7.69387,13.3455,24.6469,6.0436,4.82319
87,6.35776,5.36617,2.04543,3.973,10.7375,17.0432,2.40263,21.121,12.0002,25.131,28.2606,19.4142,8.57207,21.1085,30.3474,22.49,29.7934,7.53733,35.2453,9.30717,14.006,26.1321,7.40863,4.81105
88,7.27558,4.38698,3.32222,2.68381,8.84025,16.0144,1.48363,21.077,13.3814,25.4614,28.2873,21.3479,8.11781,20.1056,30.9071,20.5134,29.8138,9.30923,34.0898,10.2968,13.8093,25.5007,5.55379,5.11671
89,8.52457,4.92712,6.08944,3.57217,9.53182,16.1005,6.4234,16.8337,14.536,24.2176,27.1762,20.0262,7.59264,20.4972,28.6039,22.3997,29.8357,8.1879,31.6597,10.8108,15.5611,26.0179,6.06251,3.18767
90,7.44769,3.64393,2.93615,4.95871,10.5535,13.7768,2.65696,19.5437,13.8858,24.7981,28.5475,18.9897,7.56453,22.3703,27.3735,23.1677,30.0529,9.29176,33.6205,10.8509,15.2152,23.5465,6.44898,4.53974
91,7.1984,4.71812,4.32841,3.98332,10.1105,16.4469,6.12711,20.841,14.081,23.9359,26.7688,21.3411,8.29936,18.9999,30.4789,24.2455,29.0648,9.96519,34.2828,10.1557,13.0762,25.1151,5.69523,5.55121
92,6.459,5.43712,4.5751,5.04205,9.26157,15.9491,3.46867,19.6119,13.3113,24.3743,28.3724,20.4286,9.84402,22.3866,30.0418,21.6165,28.4209,8.13384,34.4868,10.745,12.4369,25.2932,6.94697,4.71082
