real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
38,2.31085,0.955557,10.5298,12.5538,15.586,16.1718,12.3013,18.9494,10.3375,18.7597,4.83602,13.1347,8.41083,14.3136,15.1693,0.701535,16.9252,12.486,5.19394,12.6312,8.66071,11.0017,4.59871,12.1809,5.5292,9.44157,5.09934,4.97045,5.9617,1.07302
39,0.009173,0.028674,0.562485,1.00697,0.55077,0.789336,4.5103,2.6904,5.49195,1.58768,6.52337,6.61211,7.08584,6.78526,6.84565,3.1163,6.52998,0.430294,7.98437,7.67078,8.36118,8.20849,8.63592,8.14331,8.78788,8.40341,8.51959,8.52684,1.6025,8.19388
40,0.712216,0.149769,10.0787,13.2394,18.2833,19.3247,12.1498,23.6609,9.10113,23.1826,2.60736,12.8715,6.36179,14.5488,15.7903,0.094346,18.6326,11.7352,2.85625,11.656,6.32323,9.13245,2.2787,10.5139,2.99485,6.8011,2.47314,2.37315,3.14837,0.194209
41,0.005671,0.014279,0.382293,0.771009,0.481722,0.709247,4.87648,3.08415,6.21038,1.78626,7.07599,9.04238,9.12622,9.72389,10.0708,2.28263,9.65659,0.502261,10.7065,11.8971,13.3998,13.5325,13.0992,13.7392,14.6758,14.6247,14.7453,14.7441,2.26163,11.3778
42,1.18974,0.349881,10.9937,13.8847,18.2373,19.1046,13.3519,22.8924,10.6442,22.5166,3.95223,14.2201,8.0897,15.7362,16.8362,0.281759,19.2364,13.1496,4.3158,13.2663,8.18556,10.9839,3.64921,12.3184,4.55925,8.75008,3.94547,3.81958,4.73674,0.537551
43,1.57068,0.540733,10.0617,12.485,16.2292,16.9757,12.1148,20.4837,9.77817,20.2099,3.83981,13.0425,7.56856,14.4556,15.4929,0.35178,17.6875,12.2103,4.17923,12.3613,7.78069,10.398,3.58461,11.7305,4.47278,8.54203,4.00129,3.87791,4.83271,0.592972
44,0.004616,0.012026,0.272602,0.555223,0.332314,0.498639,4.0507,2.4411,5.3442,1.33759,6.27038,8.43556,8.44462,9.29704,9.77303,1.93956,9.34414,0.337836,10.3029,12.0825,14.0504,14.4621,13.4511,14.9848,15.9622,16.4815,16.5024,16.4845,1.73083,11.1588
45,0.005721,0.011941,0.44999,0.913447,0.65376,0.932911,5.27021,3.74371,6.51728,2.30397,6.8049,9.79383,9.39039,10.6536,11.1218,1.75981,10.8354,0.734978,10.6401,12.91,14.1805,14.6365,13.2391,15.0614,15.3468,15.9936,15.9601,15.9445,2.99772,11.336
46,0.040937,0.115524,0.484201,0.828898,0.514583,0.716257,4.41319,2.69991,5.73707,1.58126,7.0193,8.7426,8.91816,9.63865,10.1591,3.46138,9.70185,0.488911,11.1112,12.8058,15.2276,15.8516,14.6808,16.7721,17.8222,19.157,18.9436,18.8957,1.93907,12.0574
47,0.613436,0.143382,8.6653,11.7978,17.0715,18.1054,12.0599,23.653,9.25061,23.3845,2.7231,13.8527,6.85111,15.921,17.4631,0.094649,20.5947,13.08,3.2199,13.3921,7.58023,11.0652,2.75954,13.0675,3.8529,9.15298,3.67451,3.53118,4.80671,0.285901
