iteration,total_runs,obs_realization,par_realization,obgnme
0,95875,761,761,8799.63
0,95875,762,762,6830.58
0,95875,763,763,14416.8
0,95875,764,764,8302.53
0,95875,765,765,8817.78
0,95875,766,766,1808.36
0,95875,767,767,8782.2
0,95875,768,768,8831.93
0,95875,769,769,7431.18
0,95875,770,770,8829.45
0,95875,771,771,8568.29
0,95875,772,772,8719.94
0,95875,773,773,15258
0,95875,774,774,8362.27
0,95875,775,775,3511.68
0,95875,776,776,3391.25
0,95875,777,777,2608.74
0,95875,778,778,8831.98
0,95875,779,779,8670.57
0,95875,780,780,7875.03
0,95875,781,781,8831.61
0,95875,782,782,8831.79
0,95875,783,783,8805.45
0,95875,784,784,7866.68
0,95875,785,785,8439
0,95875,786,786,8831.19
0,95875,787,787,8780.8
0,95875,788,788,8831.86
0,95875,789,789,8647.55
0,95875,790,790,7175.92
0,95875,791,791,4370.41
0,95875,792,792,2056.13
0,95875,793,793,4232.89
0,95875,794,794,8819.33
0,95875,795,795,2212.8
0,95875,796,796,8520.8
0,95875,797,797,7987.29
0,95875,798,798,3064.54
0,95875,799,799,5515.91
0,95875,800,800,4672.61
0,95875,801,801,3741.48
0,95875,802,802,8399
0,95875,803,803,8720.85
0,95875,804,804,7981.62
0,95875,805,805,8738.59
0,95875,806,806,6542.3
0,95875,807,807,3284.9
0,95875,808,808,8804.71
0,95875,809,809,5575.19
0,95875,810,810,5298.51
0,95875,811,811,8825.79
0,95875,812,812,7085.97
0,95875,813,813,8832
0,95875,814,814,3328.19
0,95875,815,815,8732.74
0,95875,816,816,8759.19
0,95875,817,817,2215.61
0,95875,818,818,7537.89
0,95875,819,819,42873.1
0,95875,820,820,7485.7
0,95875,821,821,12107.1
0,95875,822,822,8617.27
0,95875,823,823,7372.04
0,95875,824,824,6385.46
0,95875,825,825,1791.82
0,95875,826,826,8795.8
0,95875,827,827,8492.58
0,95875,828,828,8831.48
0,95875,829,829,2409.5
0,95875,830,830,2306.38
0,95875,831,831,8830.82
0,95875,832,832,2725.59
0,95875,833,833,1721.45
0,95875,834,834,8831.49
0,95875,835,835,6840.01
0,95875,836,836,8641.93
0,95875,837,837,7439.37
0,95875,838,838,66275.4
0,95875,839,839,5134.87
0,95875,840,840,8831.89
0,95875,841,841,8681.12
0,95875,842,842,8264.3
0,95875,843,843,8828.58
0,95875,844,844,8766.99
0,95875,845,845,8831.69
0,95875,846,846,8317.37
0,95875,847,847,1457.14
0,95875,848,848,8792.69
0,95875,849,849,8820.46
0,95875,850,850,8831.24
0,95875,851,851,7006.64
0,95875,852,852,5804.57
0,95875,853,853,6009.15
0,95875,854,854,8831.92
0,95875,855,855,17242.5
0,95875,856,856,6359.47
0,95875,857,857,2611.82
0,95875,858,858,8763.24
0,95875,859,859,5500.61
0,95875,860,860,8831.02
0,95875,861,861,8701.05
0,95875,862,862,5857.58
0,95875,863,863,8753.24
0,95875,864,864,12714.6
0,95875,865,865,7718.07
0,95875,866,866,3212.09
0,95875,867,867,7976.82
0,95875,868,868,4594.84
0,95875,869,869,8485.7
0,95875,870,870,6291.65
0,95875,871,871,8317.81
0,95875,872,872,6440.91
0,95875,873,873,8673.14
0,95875,874,874,8163.35
0,95875,875,875,8765.4
0,95875,876,876,8582.8
0,95875,877,877,7199.75
0,95875,878,878,8585.72
0,95875,879,879,4943.55
0,95875,880,880,8827.91
0,95875,881,881,8825.46
0,95875,882,882,8580.86
0,95875,883,883,4690.46
0,95875,884,884,3598.07
0,95875,885,885,8784.76
0,95875,886,886,8831.93
0,95875,887,887,8787.84
0,95875,888,888,4020.47
0,95875,889,889,8786.07
0,95875,890,890,4030.33
0,95875,891,891,2620.49
0,95875,892,892,1655.73
0,95875,893,893,8830.34
0,95875,894,894,3164.27
0,95875,895,895,1758.26
0,95875,896,896,8831
0,95875,897,897,8825.42
0,95875,898,898,7791.01
0,95875,899,899,8774.03
0,95875,900,900,2803.83
0,95875,901,901,8782.85
0,95875,902,902,3785.92
0,95875,903,903,8303.01
0,95875,904,904,8594.65
0,95875,905,905,6208.66
0,95875,906,906,8551.28
0,95875,907,907,3681.74
0,95875,908,908,7791.6
0,95875,909,909,8367.93
0,95875,910,910,5417.45
0,95875,911,911,7633.29
0,95875,912,912,7420.45
0,95875,913,913,3875.88
0,95875,914,914,8580.31
0,95875,916,916,6648.65
0,95875,917,917,8482.05
0,95875,919,919,8715.54
0,95875,920,920,6275.35
0,95875,921,921,22809
0,95875,922,922,3160.88
0,95875,923,923,8831.99
0,95875,924,924,2954.61
0,95875,925,925,2848.69
0,95875,926,926,8831.12
0,95875,927,927,6131.79
0,95875,928,928,5523.84
0,95875,929,929,9142.36
0,95875,930,930,8831
0,95875,931,931,8831.2
0,95875,932,932,8811.61
0,95875,933,933,8801.44
0,95875,934,934,8831.95
0,95875,935,935,9181.24
0,95875,936,936,8786.17
0,95875,937,937,8806.32
0,95875,938,938,8831.89
0,95875,939,939,8489.59
0,95875,940,940,8829.65
0,95875,941,941,8807.62
0,95875,942,942,2509.97
0,95875,943,943,8831.58
0,95875,944,944,8827.11
0,95875,945,945,8786
0,95875,946,946,12086.8
0,95875,947,947,8040.18
0,95875,948,948,8831.76
0,95875,949,949,8498.01
0,95875,950,950,7990.5
0,95875,951,951,8561.44
0,95875,952,952,40627
0,95875,953,953,8826.02
0,95875,954,954,11085.7
0,95875,955,955,27045.5
0,95875,956,956,2722.38
0,95875,957,957,8794.94
0,95875,958,958,7252.31
0,95875,959,959,1337.8
0,95875,960,960,8528.77
0,95875,961,961,6847.7
0,95875,962,962,7525.17
0,95875,963,963,8768.79
0,95875,964,964,8831.46
0,95875,965,965,6144.25
0,95875,966,966,7120.82
0,95875,967,967,8784.9
0,95875,968,968,8787.38
0,95875,969,969,8831.97
0,95875,970,970,3143.14
0,95875,971,971,8831.96
0,95875,972,972,4504.87
0,95875,973,973,20230.1
0,95875,974,974,8230.42
0,95875,975,975,8395.57
0,95875,976,976,4888.89
0,95875,977,977,5508.65
0,95875,978,978,8830.8
0,95875,979,979,8830.27
0,95875,980,980,8830.42
0,95875,981,981,4371.19
0,95875,982,982,8518.52
0,95875,983,983,8704.11
0,95875,984,984,8831.88
0,95875,985,985,4901.6
0,95875,986,986,8810.95
0,95875,987,987,8816.12
0,95875,988,988,8499.45
0,95875,989,989,8813.67
0,95875,990,990,6389.93
0,95875,991,991,8767.98
0,95875,992,992,5384.61
0,95875,993,993,7897.03
0,95875,994,994,8831.87
0,95875,995,995,8756.21
0,95875,996,996,8679.6
0,95875,997,997,7815.54
0,95875,998,998,8831.69
0,95875,999,999,6371.25
0,95875,1000,1000,8756.35
0,95875,1001,1001,9081.49
0,95875,1002,1002,8813.45
0,95875,1003,1003,8192.92
0,95875,1004,1004,8831.93
0,95875,1005,1005,8808.43
0,95875,1006,1006,29040
