real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
11,7.04177,4.60077,6.93109,4.72449,4.98676,4.21603,9.49085,10.4351,15.5556,4.29333,19.4628,15.0264,23.6375,27.1107,17.5649,6.74846,29.1439,8.32175,18.8327,28.5293,22.2452,29.9837,9.04384,33.9692,6.906,13.6185,26.1537,5.55628,5.65205,7.18572
12,7.99172,5.8832,5.94346,5.56938,3.33531,1.53116,10.6346,9.4886,16.4474,5.09788,21.7947,13.14,25.6443,26.5235,21.547,7.72951,29.4816,8.84935,19.8156,29.4276,21.672,28.6153,8.52993,33.714,9.26335,14.216,25.4344,6.14304,4.07818,4.56258
13,5.95432,4.30772,7.03011,4.42299,3.42268,3.21551,8.51974,10.3293,15.1937,4.5737,18.6793,13.5177,25.0161,28.1135,18.3352,8.44473,27.5284,10.012,20.7218,30.3975,20.5286,29.3519,9.1469,33.5094,7.95083,11.6077,23.7631,5.32517,2.21817,5.32393
14,5.12185,4.7301,7.54647,3.92024,4.37981,4.17694,9.84004,8.98503,17.4463,4.2946,19.4775,12.763,24.0313,27.8892,20.4565,8.01828,26.1922,9.9585,22.0416,31.2508,20.4404,28.3202,10.0231,33.6652,9.30642,15.479,24.7164,6.7868,2.95595,3.76443
15,5.97489,3.83876,6.38024,6.94183,2.64425,2.8028,8.83834,11.1494,16.7851,4.53372,20.1128,14.6078,23.6634,26.8996,19.6127,9.40715,25.4822,7.36456,21.2761,30.711,22.7194,30.2694,8.69526,34.5072,9.70341,12.9306,24.5035,7.20258,4.46887,5.47039
16,7.26995,7.92649,7.17594,4.44583,2.87524,4.88885,11.1344,10.8737,17.8826,4.08388,20.5736,16.1874,24.4454,29.1153,20.7126,5.76601,27.7917,7.70574,22.7866,29.519,21.5686,29.5173,10.5581,32.3485,8.96049,13.5741,25.4841,4.31873,3.24608,6.56552
17,6.42052,6.89501,6.94814,5.62606,3.20661,3.06575,9.5197,11.5032,15.5404,5.10015,20.4611,13.1694,24.7657,26.4396,21.7691,9.13328,29.5839,8.39708,20.4264,31.1263,22.339,30.4003,8.06329,34.2419,8.17445,14.6489,25.3631,5.83913,4.99978,6.65939
18,6.97504,5.29848,6.35269,5.04088,3.06972,3.33756,10.8356,10.622,16.6105,4.04176,19.2884,13.7501,25.4761,29.7824,20.8577,9.34371,26.0887,8.07935,18.5372,29.867,21.396,27.7519,8.88855,35.1126,9.78045,11.7152,24.2691,7.84553,3.47339,6.08738
19,6.33662,5.16131,8.22776,5.34434,3.40147,3.74899,11.6408,11.2615,14.6509,3.49749,19.3583,12.1386,26.1161,28.9564,19.7043,5.96506,29.6083,6.80803,19.8518,30.6192,21.1663,31.1315,7.48457,33.6666,9.15418,13.1034,25.0856,7.29212,3.59945,6.03922
20,6.25147,5.68909,6.45782,5.19347,4.39046,3.95449,9.94117,9.76596,15.3988,3.33143,19.9443,16.5548,25.4206,28.7983,21.1223,8.62509,28.8962,9.00345,21.1402,29.9045,22.0075,28.5761,9.31008,35.7313,9.15542,12.7767,25.2279,5.62707,3.45481,4.9624
21,7.44941,7.36804,6.96152,4.60968,2.55492,4.9066,10.0959,10.1544,15.6776,5.5919,20.9086,13.8837,26.3909,26.4913,19.9941,6.91198,29.3729,9.66365,19.9486,28.5782,21.6115,28.6954,9.26833,34.3368,9.34081,12.8183,25.0904,6.28034,3.74566,7.49231
22,7.68557,5.51048,7.39139,5.70429,2.69808,3.65401,11.0422,8.6828,16.7036,4.77136,19.7723,12.7422,27.4789,27.8207,20.8322,9.09445,28.7093,10.6521,19.758,30.9126,20.5442,29.1789,9.35766,33.4724,10.2971,14.1934,25.8756,6.58153,4.31015,5.85607
23,8.7197,6.47919,8.04477,5.34472,3.31487,3.44166,10.5979,9.45757,16.9992,2.44393,19.3901,12.461,25.1965,28.0633,20.8205,6.59987,26.8484,8.36809,19.6631,31.7873,21.0547,28.7707,11.88,32.3747,7.02397,11.9933,23.3258,5.21602,3.72566,3.65422
24,6.79108,6.11023,7.17234,3.52669,4.04222,4.22873,9.45227,8.6327,13.686,5.40868,20.2901,14.2745,25.8833,28.0899,21.3864,7.82012,29.7961,9.74284,20.2923,31.6429,22.8612,28.4651,8.56426,33.7575,9.73566,16.5311,24.6498,5.07299,3.11153,7.22164
25,7.47719,5.96638,6.75892,5.52973,4.18921,4.97579,11.3196,9.76319,14.5986,4.43393,19.3429,14.4798,25.5293,27.8974,18.451,7.48579,29.4503,7.87345,20.5996,30.5331,22.6589,29.3548,6.70084,32.3191,8.53969,12.8711,25.9809,5.32592,4.61216,4.97178
26,7.0555,6.39611,6.29116,5.14434,1.61689,4.10133,8.25793,9.2986,15.2739,2.78713,20.9407,13.7169,26.3661,25.2587,21.1999,8.45515,26.8447,8.52387,20.7737,29.8964,21.4635,28.8977,10.9464,35.4144,8.76012,14.3565,25.0682,6.36918,4.27477,4.90677
27,7.38896,4.63979,6.92675,5.7231,4.27233,4.71805,9.61092,8.64545,15.5207,1.96102,20.2842,14.0354,24.9657,28.027,20.4398,8.18105,27.6925,8.76644,19.1387,30.6132,21.4856,30.4546,8.1867,33.6341,8.69243,14.6319,23.9108,7.21616,3.716,5.63842
28,6.91157,6.20567,5.36495,5.20898,5.67562,2.23089,10.4074,9.19858,16.2261,3.41972,20.3574,14.6461,23.1338,28.2344,20.6921,8.07341,28.6097,8.62284,20.0196,30.121,22.2824,29.7889,9.26501,32.0751,8.41391,15.0046,25.9675,5.18233,3.79644,5.36801
29,6.9103,7.18744,6.56826,4.89793,6.12727,5.05735,10.7468,9.56897,15.5255,3.1921,20.3419,14.6471,23.894,30.3613,21.7968,8.99927,27.6187,6.39693,18.4252,29.5462,23.0314,29.1314,9.17862,33.8979,8.44515,14.2541,25.9492,8.68927,5.50003,6.4837
30,5.10423,6.25056,7.49294,3.97645,2.13417,3.40555,8.03585,10.4666,16.1271,2.78712,20.2762,13.6845,25.7325,27.3983,20.1524,7.71183,27.5862,8.6968,19.2038,31.1828,21.357,28.522,9.32035,35.3645,11.1563,12.1681,26.0841,4.81742,7.0402,6.01997
31,6.62321,5.7952,6.60156,5.39876,3.49486,4.25332,9.53153,9.17013,15.6724,3.35579,18.7027,14.266,24.6145,29.3277,18.9549,7.6622,27.0229,7.9681,20.9543,30.2206,23.8088,29.7118,9.1173,34.4231,9.01846,13.439,24.5654,7.1843,3.93525,5.73944
32,8.0355,7.08801,6.77143,6.09803,3.31489,3.2407,10.7264,10.057,16.0834,3.48399,21.7359,15.3547,26.27,28.0073,20.744,7.82044,26.9788,7.07918,21.831,31.7546,23.3268,28.6776,12.4261,32.6779,8.92488,15.7551,27.3269,6.07755,3.71551,5.26436
33,8.08845,4.5253,6.96032,6.60389,5.7742,2.3746,9.59785,7.9604,15.4113,4.03416,19.7644,14.2336,24.6431,28.9132,19.5212,7.37604,27.4774,8.7851,20.176,30.2793,23.2172,30.1592,8.61506,34.5087,7.70525,13.0825,25.137,6.64647,4.17992,6.62757
34,5.74975,5.52949,7.63689,3.87209,3.74531,4.41258,11.2092,9.45596,16.5642,3.8354,19.3483,13.7358,25.2201,26.5743,20.3739,9.0486,27.6243,6.55002,19.4767,31.104,22.8041,30.8803,6.91644,34.0185,9.66652,12.304,24.1202,7.25109,5.27964,5.44537
35,6.1159,7.25945,6.27768,5.89383,4.51242,2.19276,10.2441,9.90497,16.5357,1.75954,20.1817,15.7702,24.2181,26.3001,19.5214,6.98103,30.4343,6.47263,20.4582,28.7181,22.705,27.0128,9.78259,34.8141,9.55963,15.106,24.6395,7.78075,4.43877,5.48705
36,7.98477,7.78711,6.38248,6.39968,3.57774,4.09315,9.87738,9.9266,16.1976,4.88157,21.0803,15.6583,25.0103,28.6427,20.6717,8.29756,28.0133,7.09782,20.5044,30.9624,20.0092,28.4433,10.4313,35.8292,10.7944,12.2135,22.768,3.51895,4.63668,7.11374
37,6.25183,5.91473,6.70213,5.58523,3.04442,2.21776,8.76618,9.45151,17.7024,5.03823,21.4183,15.0156,25.3431,28.4567,20.7671,8.65246,26.185,7.39601,19.3421,27.9411,22.2927,29.5067,8.91135,33.7658,10.1554,12.4046,24.952,5.54362,3.75353,7.24851
