real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
194,0.034924,6.97549,0.163903,0.29949,0.004039,0.015843,4.14971,0.335281,7.51749,0.042788,14.7579,4.89039,11.3727,3.93319,3.38681,34.6752,2.60481,9.3e-05,14.0659,5.0803,9.12267,5.51214,13.3913,3.63864,10.0018,3.16171,2.59027,2.59717,0.000666,2.39663
195,30.3947,0.746415,56.1416,50.2675,9.74138,14.4789,23.8008,16.2151,13.2722,6.22547,0.668869,9.44888,3.29855,8.32699,7.52478,2.7e-05,7.77541,0.031422,0.226899,3.38019,0.623162,1.04569,0.032556,0.813145,0.026211,0.092566,0.000866,0.000732,1.3e-05,0
196,2.9679,5.38548,1.15617,1.08438,0.074969,0.149975,2.01188,0.559905,2.83093,0.136181,4.05101,1.56707,3.10026,1.33329,1.24813,4.10829,1.17437,0.001008,3.38493,1.33084,1.55102,1.25645,2.12418,1.16255,1.31038,0.94886,0.36749,0.362021,0.000399,0.087563
197,12.2356,15.0884,5.10278,4.51468,0.518556,0.822183,8.62893,1.757,9.63513,0.529364,8.00314,6.26481,7.79522,5.11711,4.3528,1.57952,3.41485,0.013376,4.78031,4.17453,3.3901,2.80739,2.2769,1.86978,1.37747,0.764276,0.157719,0.151967,0.000874,0.015263
198,0,0,0,0,0,0,3.7e-05,0,0.000725,0,0.077064,0.001269,0.012541,0.001058,0.000836,2.53981,0.000258,0,0.138834,0.00575,0.025827,0.012982,0.208324,0.00788,0.078598,0.010864,0.011383,0.011635,0,0.021654
199,10.1973,21.9527,0.894133,0.653461,0.012039,0.032675,1.87774,0.157965,2.60687,0.020391,4.06468,1.1329,2.49219,0.804594,0.639843,3.00761,0.4634,1.3e-05,2.24021,0.720767,0.814776,0.541167,0.946503,0.344502,0.435957,0.151555,0.024071,0.023089,1e-06,0.000432
200,0.474953,0.349279,5.16252,5.74454,4.63045,5.1688,6.03255,5.80605,6.05356,5.28438,6.04005,6.00011,6.05037,5.97885,5.96424,1.75869,5.94242,2.13937,6.04107,5.9717,5.97951,5.95292,5.98632,5.91936,5.93194,5.82265,5.3906,5.37551,1.53493,2.53818
201,0,4e-06,0,0,0,0,0,0,9e-06,0,0.004925,7e-06,0.000334,4e-06,2e-06,0.244903,0,0,0.004357,3.3e-05,0.000499,8.7e-05,0.002939,1.9e-05,0.000691,1e-05,0,0,0,0
202,22.8271,20.4882,15.683,14.3304,5.36824,6.61241,14.6131,7.76438,14.8141,4.71912,14.4829,11.8601,13.4191,10.5229,9.56026,4.87337,8.45945,0.383325,11.1129,9.13651,8.35793,7.34378,7.31712,5.98301,5.37759,3.88434,1.38591,1.34544,0.03245,0.075519
203,0.001006,0.001982,0.035089,0.08576,0.090061,0.134689,0.795166,0.971274,0.946692,0.595581,0.603554,2.73654,1.5623,3.7967,4.68547,0.076921,5.38432,0.172477,1.451,5.53664,4.89459,7.54453,2.37935,10.7606,4.7466,12.8962,9.21493,8.96964,1.30248,1.15661
